GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_NAME	GO ASPECT
UniProtKB	Q5TZ66	snap25a	involved_in	GO:0016082	synaptic vesicle priming	7955	Synaptosomal-associated protein 25-A	P
UniProtKB	Q5TZ66	snap25a	part_of	GO:0098793	presynapse	7955	Synaptosomal-associated protein 25-A	C
UniProtKB	Q5U316	Rab35	part_of	GO:0098993	anchored component of synaptic vesicle membrane	10116	Ras-related protein Rab-35	C
UniProtKB	Q5U316	Rab35	part_of	GO:0098993	anchored component of synaptic vesicle membrane	10116	Ras-related protein Rab-35	C
UniProtKB	Q5U316	Rab35	part_of	GO:0098993	anchored component of synaptic vesicle membrane	10116	Ras-related protein Rab-35	C
UniProtKB	Q5U316	Rab35	part_of	GO:0098993	anchored component of synaptic vesicle membrane	10116	Ras-related protein Rab-35	C
UniProtKB	Q5VXT5	SYPL2	part_of	GO:0030672	synaptic vesicle membrane	9606	Synaptophysin-like protein 2	C
UniProtKB	Q5VXT5	SYPL2	part_of	GO:0008021	synaptic vesicle	9606	Synaptophysin-like protein 2	C
UniProtKB	Q5W8I7	slc17a6a	part_of	GO:0030285	integral component of synaptic vesicle membrane	7955	Vesicular glutamate transporter 2.2	C
UniProtKB	Q5W8I7	slc17a6a	involved_in	GO:0098700	neurotransmitter loading into synaptic vesicle	7955	Vesicular glutamate transporter 2.2	P
UniProtKB	Q5W8I7	slc17a6a	part_of	GO:0030672	synaptic vesicle membrane	7955	Vesicular glutamate transporter 2.2	C
UniProtKB	Q5W8I7	slc17a6a	part_of	GO:0030672	synaptic vesicle membrane	7955	Vesicular glutamate transporter 2.2	C
UniProtKB	Q5W8I8	slc17a6b	part_of	GO:0030285	integral component of synaptic vesicle membrane	7955	Vesicular glutamate transporter 2.1	C
UniProtKB	Q5W8I8	slc17a6b	involved_in	GO:0098700	neurotransmitter loading into synaptic vesicle	7955	Vesicular glutamate transporter 2.1	P
UniProtKB	Q5W8I8	slc17a6b	part_of	GO:0030672	synaptic vesicle membrane	7955	Vesicular glutamate transporter 2.1	C
UniProtKB	Q5W8I8	slc17a6b	part_of	GO:0030672	synaptic vesicle membrane	7955	Vesicular glutamate transporter 2.1	C
UniProtKB	Q5XI81	Fxr1	part_of	GO:0098793	presynapse	10116	Fragile X mental retardation syndrome-related protein 1	C
UniProtKB	Q5XIH7	Phb2	part_of	GO:0048786	presynaptic active zone	10116	Prohibitin-2	C
UniProtKB	Q5XIH7	Phb2	part_of	GO:0048786	presynaptic active zone	10116	Prohibitin-2	C
UniProtKB	Q5XIH7	Phb2	part_of	GO:0048786	presynaptic active zone	10116	Prohibitin-2	C
UniProtKB	Q5XIH7	Phb2	part_of	GO:0048786	presynaptic active zone	10116	Prohibitin-2	C
UniProtKB	Q5XIX8	borcs5	part_of	GO:0030672	synaptic vesicle membrane	7955	BLOC-1-related complex subunit 5	C
UniProtKB	Q5XJX1	scgn	part_of	GO:0043195	terminal bouton	7955	Secretagogin	C
UniProtKB	Q5XJX1	scgn	involved_in	GO:0099509	regulation of presynaptic cytosolic calcium ion concentration	7955	Secretagogin	P
UniProtKB	Q5YJC1	SYP	part_of	GO:0008021	synaptic vesicle	9997	Synaptophysin	C
UniProtKB	Q5YJC1	SYP	part_of	GO:0030672	synaptic vesicle membrane	9997	Synaptophysin	C
UniProtKB	Q5ZIK2	PDZD11	involved_in	GO:0007269	neurotransmitter secretion	9031	PDZ domain-containing protein 11	P
UniProtKB	Q5ZIK2	PDZD11	part_of	GO:0098793	presynapse	9031	PDZ domain-containing protein 11	C
UniProtKB	Q5ZIT5	RAB10	part_of	GO:0008021	synaptic vesicle	9031	Ras-related protein Rab-10	C
UniProtKB	Q5ZJA9	BORCS5	part_of	GO:0030672	synaptic vesicle membrane	9031	BLOC-1-related complex subunit 5	C
UniProtKB	Q5ZKM0	DTNBP1	part_of	GO:0030672	synaptic vesicle membrane	9031	Dysbindin	C
UniProtKB	Q5ZKM0	DTNBP1	part_of	GO:0030672	synaptic vesicle membrane	9031	Dysbindin	C
UniProtKB	Q5ZKM0	DTNBP1	part_of	GO:0030672	synaptic vesicle membrane	9031	Dysbindin	C
UniProtKB	Q5ZL19	STX6	part_of	GO:0030285	integral component of synaptic vesicle membrane	9031	Syntaxin-6	C
UniProtKB	Q5ZL19	STX6	part_of	GO:0008021	synaptic vesicle	9031	Syntaxin-6	C
UniProtKB	Q5ZLH4	TMEM230	part_of	GO:0008021	synaptic vesicle	9031	Transmembrane protein 230	C
UniProtKB	Q5ZLH4	TMEM230	part_of	GO:0008021	synaptic vesicle	9031	Transmembrane protein 230	C
UniProtKB	Q5ZLH4	TMEM230	part_of	GO:0008021	synaptic vesicle	9031	Transmembrane protein 230	C
UniProtKB	Q5ZMH1	SEPTIN2	part_of	GO:0008021	synaptic vesicle	9031	Septin-2	C
UniProtKB	Q60506	PRNP	part_of	GO:0043195	terminal bouton	10029	Major prion protein	C
UniProtKB	Q60571	Crhbp	part_of	GO:0043679	axon terminus	10090	Corticotropin-releasing factor-binding protein	C
UniProtKB	Q60571	Crhbp	part_of	GO:0043679	axon terminus	10090	Corticotropin-releasing factor-binding protein	C
UniProtKB	Q60575	Kif1b	part_of	GO:0008021	synaptic vesicle	10090	Kinesin-like protein KIF1B	C
UniProtKB	Q60603	Kcnh1	part_of	GO:0042734	presynaptic membrane	10090	Potassium voltage-gated channel subfamily H member 1	C
UniProtKB	Q60603	Kcnh1	part_of	GO:0099056	integral component of presynaptic membrane	10090	Potassium voltage-gated channel subfamily H member 1	C
UniProtKB	Q60603	Kcnh1	part_of	GO:0042734	presynaptic membrane	10090	Potassium voltage-gated channel subfamily H member 1	C
UniProtKB	Q60603	Kcnh1	involved_in	GO:0099509	regulation of presynaptic cytosolic calcium ion concentration	10090	Potassium voltage-gated channel subfamily H member 1	P
UniProtKB	Q60603	Kcnh1	involved_in	GO:0099509	regulation of presynaptic cytosolic calcium ion concentration	10090	Potassium voltage-gated channel subfamily H member 1	P
UniProtKB	Q60603	Kcnh1	involved_in	GO:0099509	regulation of presynaptic cytosolic calcium ion concentration	10090	Potassium voltage-gated channel subfamily H member 1	P
UniProtKB	Q60603	Kcnh1	enables	GO:0099508	voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	10090	Potassium voltage-gated channel subfamily H member 1	F
UniProtKB	Q60603	Kcnh1	enables	GO:0099508	voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	10090	Potassium voltage-gated channel subfamily H member 1	F
UniProtKB	Q60603	Kcnh1	enables	GO:0099508	voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	10090	Potassium voltage-gated channel subfamily H member 1	F
UniProtKB	Q60603	Kcnh1	enables	GO:0099508	voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	10090	Potassium voltage-gated channel subfamily H member 1	F
UniProtKB	Q60603	Kcnh1	involved_in	GO:0099509	regulation of presynaptic cytosolic calcium ion concentration	10090	Potassium voltage-gated channel subfamily H member 1	P
UniProtKB	Q60612	Adora1	enables	GO:0099582	neurotransmitter receptor activity involved in regulation of presynaptic cytosolic calcium ion concentration	10090	Adenosine receptor A1	F
UniProtKB	Q60612	Adora1	part_of	GO:0043195	terminal bouton	10090	Adenosine receptor A1	C
UniProtKB	Q60612	Adora1	part_of	GO:0042734	presynaptic membrane	10090	Adenosine receptor A1	C
UniProtKB	Q60612	Adora1	part_of	GO:0099056	integral component of presynaptic membrane	10090	Adenosine receptor A1	C
UniProtKB	Q60612	Adora1	part_of	GO:0048786	presynaptic active zone	10090	Adenosine receptor A1	C
UniProtKB	Q60612	Adora1	part_of	GO:0044305	calyx of Held	10090	Adenosine receptor A1	C
